Name
Absolute zero
Acid green
Aero
Aero blue
African violet
Air Force blue (RAF)
Air Force blue (USAF)
Air superiority blue
Alabama crimson
Alabaster
Alice blue
Alien Armpit
Alizarin crimson
Alloy orange
Almond
Amaranth
Amaranth deep purple
Amaranth pink
Amaranth purple
Amaranth red
Amazon
Amazonite
Amber
Amber (SAE/ECE)
American rose
Amethyst
Android green
Anti-flash white
Antique brass
Antique bronze
Antique fuchsia
Antique ruby
Antique white
Ao (English)
Apple green
Apricot
Aqua
Aquamarine
Arctic lime
Army green
Arsenic
Artichoke
Arylide yellow
Ash grey
Asparagus
Atomic tangerine
Auburn
Aureolin
AuroMetalSaurus
Avocado
Awesome
Aztec Gold
Azure
Azure (web color)
Azure mist
Azureish white
Baby blue
Baby blue eyes
Baby pink
Baby powder
Baker-Miller pink
Ball blue
Banana Mania
Banana yellow
Bangladesh green
Barbie pink
Barn red
Battery Charged Blue
Battleship grey
Bazaar
Beau blue
Beaver
Begonia
Beige
B'dazzled blue
Big dip oâ€™ruby
Big Foot Feet
Bisque
Bistre
Bistre brown
Bitter lemon
Bitter lime
Bittersweet
Bittersweet shimmer
Black
Black bean
Black Coral
Black leather jacket
Black olive
Black Shadows
Blanched almond
Blast-off bronze
Bleu de France
Blizzard Blue
Blond
Blue
Blue (Crayola)
Blue (Munsell)
Blue (NCS)
Blue (Pantone)
Blue (pigment)
Blue (RYB)
Blue Bell
Blue Bolt
Blue-gray
Blue-green
Blue Jeans
Blue Lagoon
Blue-magenta violet
Blue sapphire
Blue-violet
Blue yonder
Blueberry
Bluebonnet
Blush
Bole
Bondi blue
Bone
Booger Buster
Boston University Red
Bottle green
Boysenberry
Brandeis blue
Brass
Brick red
Bright cerulean
Bright green
Bright lavender
Bright lilac
Bright maroon
Bright navy blue
Bright pink
Bright turquoise
Bright ube
Bright Yellow (Crayola)
Brilliant azure
Brilliant lavender
Brilliant rose
Brink pink
British racing green
Bronze
Bronze Yellow
Brown (traditional)
Brown (web)
Brown-nose
Brown Sugar
Brown Yellow
Brunswick green
Bubble gum
Bubbles
Bud green
Buff
Bulgarian rose
Burgundy
Burlywood
Burnished Brown
Burnt orange
Burnt sienna
Burnt umber
Byzantine
